Região;UF;Município;IBGE;N_Fam_Cad_Geral;N_Fam_Cad_Urbano;N_Fam_Cad_Rural;N_Fam_Cad_Geral_Ext_Pob;N_Fam_Cad_Urbano_Ext_Pob;N_Fam_Cad_Rural_Ext_Pob;N_Pes_Cad;N_Fam_PBF;N_Pes_PBF;N_Crianca_<5_PBF_2018_DAI;%_DAI_Crianca_<5_PBF_2018;N_Crianca_<5_PBF_2019_DAI;%_DAI_Crianca_<5_PBF_2019;N_Crianca_<2_PBF_2018_DAI;%_DAI_Crianca_<2_PBF_2018;N_Estab_AF_2017;N_DAP;N_DAP_CAD;N_Fam_Fomento;N_Cisterna_1;N_Cisterna_2;N_Cisterna_Escola;N_AF_PAA
Norte;AC;Acrelândia;120001;3402;1672;1730;1744;808;936;9747;1808;6247;99;12.34;150;21.31;39;44396;1228;622;298;6;0;0;0;152
Norte;AC;Assis Brasil;120005;1971;784;1187;1446;478;968;7368;1407;6039;157;24.92;219;28.93;54;29.51;476;228;149;19;101;0;0;152
Norte;AC;Brasiléia;120010;5468;3083;2385;3463;1832;1631;15850;3294;11294;124;9.58;163;13.33;57;15.41;1755;662;394;137;151;0;0;350
Norte;AC;Bujari;120013;2168;904;1264;1246;507;739;7337;1327;5487;83;15.75;113;20.81;33;23.74;1107;373;162;38;0;0;0;115
Norte;AC;Capixaba;120017;2595;926;1669;1408;463;945;8052;1361;5097;85;16.73;107;44428;43;26.88;1113;323;189;0;0;0;0;228
Norte;AC;Cruzeiro do Sul;120020;15635;9138;6497;11604;6233;5371;58238;10252;43852;681;16.87;690;44334;230;20.78;2842;454;308;491;72;0;0;365
Norte;AC;Epitaciolândia;120025;3206;2162;1044;1829;1130;699;8787;1941;6502;117;44216;143;23.44;45;36.59;1286;441;195;0;8;0;0;218
Norte;AC;Feijó;120030;6509;3171;3338;4682;2020;2662;25452;4816;20931;453;23.15;389;20.38;149;28.43;2590;436;306;369;65;0;0;161
Norte;AC;Jordão;120032;1810;623;1187;1476;464;1012;7782;1365;6502;369;53.25;473;58.68;94;53.41;460;68;45;169;0;0;0;24
Norte;AC;Mâncio Lima;120033;4262;2037;2225;3523;1587;1936;15346;3219;12760;280;44428;257;44462;110;29.49;951;251;168;112;65;0;0;86
Norte;AC;Manoel Urbano;120034;2763;1431;1332;1991;935;1056;9805;1723;7310;133;18.58;136;44275;37;19.17;526;135;86;60;0;0;0;130
Norte;AC;Marechal Thaumaturgo;120035;3879;1320;2559;3059;952;2107;14780;2763;12219;289;21.71;261;44337;74;44223;1503;360;307;0;0;0;0;141
Norte;AC;Plácido de Castro;120038;2745;1761;984;1278;815;463;8612;1656;6007;91;13.38;119;16.53;25;17.36;1064;507;204;63;0;0;0;147
Norte;AC;Porto Acre;120080;4440;1387;3053;2927;957;1970;13748;2614;9724;117;12.25;115;10.82;38;14.29;1182;672;336;59;0;0;0;392
Norte;AC;Porto Walter;120039;2047;956;1091;1563;681;882;8685;1480;7072;194;20.91;210;23.31;67;44251;1058;415;350;192;0;0;0;122
Norte;AC;Rio Branco;120040;45414;39410;6004;24776;21031;3745;138654;26136;91678;917;12.96;1128;14.38;294;17.83;3074;1665;691;301;64;0;0;1506
Norte;AC;Rodrigues Alves;120042;3430;1164;2266;2731;833;1898;12365;2535;10087;169;18.95;176;20.18;59;21.37;1168;309;231;157;0;0;0;93
Norte;AC;Santa Rosa do Purus;120043;1481;605;876;1239;466;773;5885;1151;5169;429;61.02;442;62.61;96;55.49;499;82;62;0;0;0;0;3
Norte;AC;Sena Madureira;120050;9479;4663;4816;7337;3255;4082;33716;6767;27308;232;8.67;225;8.17;85;44266;2123;635;380;82;0;0;0;238
Norte;AC;Senador Guiomard;120045;6181;4072;2109;4855;3147;1708;15730;3996;12163;220;44396;192;18.55;77;24.84;1079;576;262;1;96;0;0;257
Norte;AC;Tarauacá;120060;9622;5056;4566;7691;3804;3887;37470;7211;32212;1052;29.34;1129;31.06;335;35.12;2541;545;343;577;35;0;0;265
Norte;AC;Xapuri;120070;3303;1641;1662;2094;930;1164;10267;2077;7616;157;44367;112;16.94;60;44283;1484;713;438;10;240;0;0;162
Nordeste;AL;Água Branca;270010;4518;1026;3492;3168;653;2515;14738;3024;10987;92;9.68;110;44239;35;13.67;1689;1415;1185;315;1069;220;28;119
Nordeste;AL;Anadia;270020;4000;2128;1872;3014;1578;1436;9801;2792;7643;127;18.76;83;13.43;60;34.68;177;240;121;0;43;0;0;41
Nordeste;AL;Arapiraca;270030;34685;25094;9591;19754;13303;6451;92688;21312;62949;414;11.84;425;13.21;149;18.39;2372;1888;989;288;489;230;18;1645
Nordeste;AL;Atalaia;270040;11282;7432;3850;8189;5439;2750;28934;7586;22530;380;17.83;332;18.68;169;27.94;308;137;61;0;0;0;0;238
Nordeste;AL;Barra de Santo Antônio;270050;5647;5436;211;4079;3907;172;12875;3769;9989;129;18.27;153;16.16;58;28.72;4;98;72;0;0;0;0;9
Nordeste;AL;Barra de São Miguel;270060;2309;1996;313;1526;1287;239;5728;1237;3781;62;14.42;79;15.83;21;16.93;9;0;0;0;0;0;0;8
Nordeste;AL;Batalha;270070;4782;2787;1995;3491;1973;1518;13201;3184;9985;98;10.25;115;11.53;35;11.99;628;689;557;155;629;221;2;1090
Nordeste;AL;Belém;270080;1491;535;956;983;327;656;4000;858;2524;22;8.53;36;13.85;12;15;178;111;68;4;50;0;2;12
Nordeste;AL;Belo Monte;270090;1827;306;1521;1382;220;1162;5438;1355;4257;52;12.94;58;13.88;33;23.74;481;716;586;106;89;352;0;441
Nordeste;AL;Boca da Mata;270100;5804;4731;1073;4213;3419;794;14525;3974;11019;133;13.78;128;13.96;57;24.36;138;118;55;0;0;0;0;50
Nordeste;AL;Branquinha;270110;3358;2200;1158;2169;1477;692;7570;1855;5300;58;9.29;14;44288;17;9.94;319;84;46;0;0;0;0;407
Nordeste;AL;Cacimbinhas;270120;2702;1441;1261;1983;1033;950;7376;1973;5930;60;11.13;86;44213;17;44449;614;565;418;165;1519;347;3;677
Nordeste;AL;Cajueiro;270130;5227;4663;564;3903;3479;424;13120;3570;10177;97;13.62;163;17.81;48;22.86;127;72;25;0;0;0;0;325
Nordeste;AL;Campestre;270135;2067;1791;276;1617;1391;226;4882;1371;3891;68;15.42;45;11.45;27;18.88;112;59;30;0;0;0;0;10
Nordeste;AL;Campo Alegre;270140;9819;5741;4078;6196;3644;2552;22666;6181;15559;178;14.29;300;44303;62;15.73;201;52;23;0;0;0;11;42
Nordeste;AL;Campo Grande;270150;2697;1336;1361;2318;1135;1183;8073;2227;7236;46;7.78;36;8.39;20;10.87;1258;521;346;135;0;0;8;291
Nordeste;AL;Canapi;270160;6260;2101;4159;4890;1740;3150;16627;4269;13676;139;15.64;158;21.32;57;19.93;1456;2184;1885;331;2541;553;19;73
Nordeste;AL;Capela;270170;3428;2557;871;2204;1613;591;9849;2286;7391;136;17.17;96;12.21;53;25.36;165;220;133;1;0;0;0;81
Nordeste;AL;Carneiros;270180;2286;1383;903;1902;1130;772;7021;1681;5781;101;21.17;77;20.37;51;37.78;511;497;423;122;579;191;3;15
Nordeste;AL;Chã Preta;270190;1774;1254;520;1432;975;457;5023;1244;4087;91;24.86;95;24.23;33;34.74;345;274;163;0;0;0;0;544
Nordeste;AL;Coité do Nóia;270200;2519;782;1737;1652;477;1175;7488;1675;5498;36;7.64;31;44235;8;6.51;1392;503;333;87;1301;165;11;338
Nordeste;AL;Colônia Leopoldina;270210;5899;4661;1238;4663;3602;1061;13556;4009;10689;127;13.15;164;16.53;51;44428;288;161;92;0;0;0;0;56
Nordeste;AL;Coqueiro Seco;270220;1697;1607;90;854;801;53;4276;820;2457;26;44330;21;12.28;17;26.99;19;0;0;0;0;0;0;4
Nordeste;AL;Coruripe;270230;9569;4599;4970;5692;2593;3099;25772;5799;17581;231;44216;283;16.22;84;44376;561;1088;442;0;0;0;0;1491
Nordeste;AL;Craíbas;270235;6035;2455;3580;4395;1641;2754;18121;3972;13409;159;10.43;221;44515;57;13.51;2654;1834;1247;276;120;290;0;1147
Nordeste;AL;Delmiro Gouveia;270240;11427;8372;3055;6706;4736;1970;30187;6503;20309;348;17.98;430;23.94;115;24.32;704;810;565;368;328;253;6;396
Nordeste;AL;Dois Riachos;270250;2934;1561;1373;2100;1074;1026;7110;1981;5334;60;14.89;48;11.88;23;19.66;946;628;480;97;1527;150;5;103
Nordeste;AL;Estrela de Alagoas;270255;4576;1088;3488;2797;662;2135;12873;2763;8631;186;29.71;41;5.76;110;56.41;2331;1404;1162;170;1088;278;9;422
Nordeste;AL;Feira Grande;270260;5619;1209;4410;4463;900;3563;16445;4337;13436;191;16.44;266;44279;62;21.24;2616;1327;994;153;0;0;3;139
Nordeste;AL;Feliz Deserto;270270;1089;905;184;667;568;99;2758;722;2110;24;10.39;29;12.45;12;15.38;163;61;31;0;0;0;0;2
Nordeste;AL;Flexeiras;270280;3939;2406;1533;2209;1356;853;9345;2155;6536;121;44397;108;18.75;48;24.74;456;39;31;0;0;0;0;80
Nordeste;AL;Girau do Ponciano;270290;7785;2480;5305;6201;1855;4346;24092;5921;19796;226;13.49;279;16.89;95;20.21;3785;4257;3185;264;942;523;35;220
Nordeste;AL;Ibateguara;270300;4369;2872;1497;2647;1680;967;11097;2656;8207;104;17.48;119;19.44;50;28.25;358;379;234;0;0;0;0;396
Nordeste;AL;Igaci;270310;7152;1754;5398;5356;1274;4082;19591;4945;14999;145;9.99;166;13.13;70;16.43;2600;1267;998;234;3845;432;21;249
Nordeste;AL;Igreja Nova;270320;5646;1182;4464;3571;682;2889;16375;3706;11402;214;17.82;360;30.69;83;44222;1195;2035;1430;106;0;0;0;713
Nordeste;AL;Inhapi;270330;4104;1697;2407;2883;1073;1810;12949;2971;10442;105;12.31;97;11.83;37;17.53;1366;1178;961;334;1746;441;23;98
Nordeste;AL;Jacaré dos Homens;270340;1621;837;784;1202;617;585;4252;1083;3209;35;10.23;68;17.71;12;10.81;424;382;310;128;93;99;5;784
Nordeste;AL;Jacuípe;270350;1920;1428;492;1134;816;318;4404;1101;3076;57;44212;40;10.96;25;26.88;400;26;19;11;0;0;0;62
Nordeste;AL;Japaratinga;270360;2723;1492;1231;2243;1219;1024;6640;1840;5391;53;13.28;82;19.43;20;17.86;100;170;108;0;0;0;0;15
Nordeste;AL;Jaramataia;270370;1440;703;737;1133;526;607;4336;1004;3290;65;16.84;87;23.97;18;17.48;289;295;244;166;325;102;4;276
Nordeste;AL;Jequiá da Praia;270375;3176;1171;2005;2485;865;1620;7336;2273;6048;53;44390;44;11.96;20;18.87;200;110;96;0;0;0;0;1
Nordeste;AL;Joaquim Gomes;270380;5686;3478;2208;3378;2051;1327;15383;3634;11494;143;12.99;134;14.38;47;44302;643;146;108;41;0;0;0;40
Nordeste;AL;Jundiá;270390;1257;963;294;860;647;213;3111;771;2326;22;11.96;15;44233;6;10.52;195;105;61;0;0;0;0;4
Nordeste;AL;Junqueiro;270400;6669;2284;4385;4535;1405;3130;16903;3918;11328;140;12.61;144;44452;46;16.25;1289;706;520;90;0;0;0;326
Nordeste;AL;Lagoa da Canoa;270410;4775;2233;2542;3501;1482;2019;13492;3236;10199;173;19.14;148;15.21;54;24.43;1408;605;449;166;83;148;12;138
Nordeste;AL;Limoeiro de Anadia;270420;5799;1742;4057;4550;1279;3271;16691;4382;13627;146;11.88;115;10.24;56;15.87;1668;642;372;87;0;0;14;263
Nordeste;AL;Maceió;270430;138277;138228;49;51816;51794;22;321890;65150;183504;830;44297;1139;9.64;341;16.55;17;384;202;45;0;0;0;14
Nordeste;AL;Major Isidoro;270440;4842;2338;2504;3725;1758;1967;12756;3339;9974;90;13.27;124;44425;36;17.64;1735;1467;1070;91;926;264;11;1466
Nordeste;AL;Mar Vermelho;270490;961;452;509;677;297;380;2602;663;2024;12;9.76;6;3.57;6;18.76;236;253;160;0;0;0;0;448
Nordeste;AL;Maragogi;270450;7307;5162;2145;5351;3947;1404;19064;5002;15016;156;12.32;202;17.61;59;44304;1030;119;74;0;0;0;0;667
Nordeste;AL;Maravilha;270460;3821;1920;1901;2933;1495;1438;8370;2635;6621;98;17.16;67;44301;36;19.35;834;996;887;133;1186;346;5;117
Nordeste;AL;Marechal Deodoro;270470;11273;10444;829;7714;7125;589;30732;7071;22031;358;44517;358;12.89;140;23.85;48;155;100;0;0;0;0;1
Nordeste;AL;Maribondo;270480;3018;2336;682;2090;1579;511;7826;1994;5810;64;11.79;82;44424;21;12.65;218;122;77;0;20;0;0;71
Nordeste;AL;Mata Grande;270500;5023;1668;3355;3554;1027;2527;15018;3750;12152;198;17.77;178;44243;83;24.85;2724;1150;911;430;545;252;50;37
Nordeste;AL;Matriz de Camaragibe;270510;5777;5293;484;3660;3325;335;14881;3663;10671;116;10.77;91;10.45;52;18.51;267;129;78;1;0;0;0;97
Nordeste;AL;Messias;270520;4207;3605;602;1353;1027;326;11594;1911;6303;127;20.52;170;22.58;58;29;171;7;7;1;0;0;0;2
Nordeste;AL;Minador do Negrão;270530;1342;555;787;804;310;494;3752;797;2495;28;12.56;36;16.59;10;15.16;646;505;365;88;593;199;2;65
Nordeste;AL;Monteirópolis;270540;2312;928;1384;1742;655;1087;6369;1537;4924;70;16.24;80;20.62;22;17.74;298;558;485;298;337;149;12;575
Nordeste;AL;Murici;270550;6961;6254;707;3994;3553;441;17607;4139;13026;180;13.62;258;17.22;75;21.81;401;117;76;110;0;0;0;179
Nordeste;AL;Novo Lino;270560;3060;1945;1115;2083;1349;734;7712;2092;5870;49;9.63;68;44330;23;44270;241;109;62;0;0;0;0;14
Nordeste;AL;Olho d'Água das Flores;270570;4278;2967;1311;2895;1940;955;11602;2845;8606;100;12.33;118;13.85;28;14.14;1296;888;675;132;267;296;3;306
Nordeste;AL;Olho d'Água do Casado;270580;2323;1048;1275;1799;796;1003;6452;1661;5103;59;12.22;54;13.67;18;14.17;665;1291;1081;262;594;330;0;63
Nordeste;AL;Olho d'Água Grande;270590;1612;436;1176;1404;374;1030;4831;1305;4321;37;9.14;54;11.87;11;9.65;808;659;497;176;0;0;0;109
Nordeste;AL;Olivença;270600;2796;828;1968;2258;655;1603;8508;2129;7049;179;27.25;304;35.64;72;38.1;1327;652;532;128;1229;262;0;26
Nordeste;AL;Ouro Branco;270610;3713;2230;1483;2868;1741;1127;9507;2509;7388;83;22.49;3;9.68;38;28.79;682;1344;1110;243;1003;595;14;384
Nordeste;AL;Palestina;270620;1295;933;362;1042;729;313;3797;939;2961;72;24.57;35;14.52;23;25;88;573;481;203;128;110;1;168
Nordeste;AL;Palmeira dos Índios;270630;17806;12316;5490;12821;8558;4263;42952;10874;30158;269;13.32;246;13.91;87;44304;2689;1896;1322;195;2593;145;28;688
Nordeste;AL;Pão de Açúcar;270640;5555;2419;3136;4053;1663;2390;15556;3910;11910;245;21.74;321;44254;73;44251;1341;1953;1506;209;879;461;13;470
Nordeste;AL;Pariconha;270642;2577;758;1819;1742;465;1277;8164;1740;6186;69;11.42;55;44358;24;15.18;677;1060;823;147;1157;202;8;94
Nordeste;AL;Paripueira;270644;3760;3598;162;2227;2126;101;9203;2150;6283;113;22.33;73;16.44;43;36.75;50;33;21;0;0;0;0;1
Nordeste;AL;Passo de Camaragibe;270650;3279;2126;1153;2158;1393;765;9340;2296;7340;55;44236;80;44268;15;9.74;87;97;66;0;0;0;0;103
Nordeste;AL;Paulo Jacinto;270660;2031;1643;388;1333;1036;297;5102;1267;3555;12;4.53;26;8.23;3;4.41;251;181;89;0;0;0;0;256
Nordeste;AL;Penedo;270670;16990;13000;3990;12210;8976;3234;38138;9657;25775;305;13.82;345;14.45;126;20.73;1151;973;586;41;0;0;0;734
Nordeste;AL;Piaçabuçu;270680;5710;3492;2218;4788;2902;1886;13288;4001;10923;130;12.15;223;18.35;57;16.57;133;623;477;0;13;0;0;101
Nordeste;AL;Pilar;270690;9572;9398;174;6507;6386;121;23133;5707;16153;225;12.52;205;12.28;80;15.59;68;41;28;0;0;0;0;10
Nordeste;AL;Pindoba;270700;537;357;180;349;222;127;1581;348;1106;19;18.27;17;15.45;4;16;248;50;25;0;0;0;0;8
Nordeste;AL;Piranhas;270710;5660;4112;1548;4037;2891;1146;16566;3884;12638;238;16.43;221;16.55;95;22.15;942;1876;1568;321;824;330;4;172
Nordeste;AL;Poço das Trincheiras;270720;3696;607;3089;2934;467;2467;10534;2703;8444;96;44392;78;12.36;42;44280;1282;965;846;292;2470;836;10;182
Nordeste;AL;Porto Calvo;270730;8381;6940;1441;5750;4725;1025;18029;5232;14069;346;25;289;24.29;156;35.45;345;295;196;1;0;0;0;255
Nordeste;AL;Porto de Pedras;270740;2411;1859;552;1776;1329;447;6226;1705;4903;63;12.75;70;14.99;33;23.41;172;73;60;28;0;0;0;20
Nordeste;AL;Porto Real do Colégio;270750;5845;2307;3538;4576;1751;2825;14972;4177;12168;121;16.35;195;18.48;45;20.55;1144;1247;870;1;0;0;0;329
Nordeste;AL;Quebrangulo;270760;3368;2277;1091;2432;1589;843;9302;2212;6997;72;10;99;44242;31;15.73;691;602;459;1;173;0;10;434
Nordeste;AL;Rio Largo;270770;21483;21244;239;10444;10316;128;51911;9842;29764;187;44364;265;12.65;75;22.26;44;8;2;0;0;0;0;0
Nordeste;AL;Roteiro;270780;1891;1755;136;1559;1455;104;4948;1241;3717;65;15.33;58;14.15;34;26.99;55;68;53;0;0;0;0;0
Nordeste;AL;Santa Luzia do Norte;270790;1716;1674;42;1082;1053;29;4520;956;2965;44;14.47;44;44362;16;20.51;3;0;0;0;0;0;0;4
Nordeste;AL;Santana do Ipanema;270800;11317;6852;4465;8786;5117;3669;30064;8039;23755;408;15.88;276;11.47;185;44432;1923;2515;1962;446;3197;758;13;812
Nordeste;AL;Santana do Mundaú;270810;3432;2200;1232;1920;1161;759;9546;1836;5997;60;9.48;54;8.71;25;13.52;1202;1573;1108;0;0;0;4;2603
Nordeste;AL;São Brás;270820;1648;769;879;1120;511;609;4801;1107;3588;49;44298;49;14.71;22;17.74;428;377;276;6;0;0;0;83
Nordeste;AL;São José da Laje;270830;5203;4155;1048;3439;2637;802;12384;3343;9122;201;21.22;196;18.37;70;44556;203;300;139;0;0;0;0;66
Nordeste;AL;São José da Tapera;270840;8507;3461;5046;6642;2640;4002;24923;5964;19551;362;16.97;286;44330;148;25.25;2252;3012;2412;359;2846;619;20;265
Nordeste;AL;São Luís do Quitunde;270850;9113;6537;2576;6587;4879;1708;21287;6178;16592;186;44448;212;44268;73;12.25;794;50;36;47;0;0;0;382
Nordeste;AL;São Miguel dos Campos;270860;14827;13937;890;9610;8982;628;32093;7537;20128;326;16.37;459;44368;155;25.67;76;20;8;0;0;0;0;2
Nordeste;AL;São Miguel dos Milagres;270870;2289;616;1673;1187;333;854;6248;1256;4022;64;16.93;50;12.22;26;22.81;81;25;19;0;0;0;0;14
Nordeste;AL;São Sebastião;270880;8172;3078;5094;6123;2229;3894;24199;5895;18974;202;44512;434;28.52;93;19.87;2255;2653;1861;240;82;0;0;237
Nordeste;AL;Satuba;270890;3093;2717;376;1789;1510;279;8175;1797;5368;108;34.29;44;20.47;28;36.84;11;2;0;0;0;0;0;4
Nordeste;AL;Senador Rui Palmeira;270895;3243;1179;2064;2611;900;1711;9607;2425;8058;109;44428;60;44207;46;47.92;1397;1074;889;180;1576;523;15;280
Nordeste;AL;Tanque d'Arca;270900;1795;718;1077;1086;362;724;4549;1068;3072;31;9.69;30;10.64;13;12.74;311;370;280;1;0;0;5;141
Nordeste;AL;Taquarana;270910;4080;1495;2585;2957;1034;1923;11500;2774;8579;203;28;75;44296;61;34.08;1793;932;569;154;482;0;17;119
Nordeste;AL;Teotônio Vilela;270915;9937;8419;1518;5553;4656;897;27536;5749;17987;199;44207;228;44452;76;13.62;404;523;271;0;0;0;0;105
Nordeste;AL;Traipu;270920;5653;1545;4108;4441;1182;3259;16440;4184;13128;284;22.47;107;8.84;91;27.66;2961;1411;1125;457;768;159;16;582
Nordeste;AL;União dos Palmares;270930;17721;13581;4140;9217;6847;2370;40110;9486;26982;393;12.43;421;14.87;168;22.49;1388;1736;1061;1;0;0;0;441
Nordeste;AL;Viçosa;270940;6753;4875;1878;4555;3218;1337;17208;4460;12968;81;12.25;137;44454;31;15.89;643;638;399;0;0;0;0;553
Norte;AM;Alvarães;130002;3299;1994;1305;2594;1493;1101;12217;2337;10010;350;28.62;160;19.44;79;31.6;936;322;258;3;0;0;0;52
Norte;AM;Amaturá;130006;2551;1436;1115;1607;832;775;9131;1609;6873;352;30.34;343;30.98;106;31.37;501;315;296;66;0;0;0;15
Norte;AM;Anamã;130008;2768;1271;1497;2152;932;1220;9541;1956;7790;146;16.19;146;44398;63;22.58;536;160;128;1;0;0;0;47
Norte;AM;Anori;130010;4034;3309;725;3102;2517;585;11576;2867;9781;175;15.45;171;44244;61;19.42;685;648;519;0;0;0;0;19
Norte;AM;Apuí;130014;3480;2148;1332;1665;977;688;9826;1877;6370;61;11.44;55;10.91;16;44359;752;384;248;0;0;0;0;10
Norte;AM;Atalaia do Norte;130020;2986;1717;1269;2241;1162;1079;11276;2172;9251;343;26.78;468;37.99;53;22.94;1197;163;117;649;0;0;0;24
Norte;AM;Autazes;130030;10881;4853;6028;8922;3851;5071;33612;7471;27600;575;19.26;526;19.94;200;24.51;2058;468;303;0;0;0;0;161
Norte;AM;Barcelos;130040;4335;3153;1182;2835;1932;903;12309;2943;9695;398;39.44;355;36.86;61;32.8;869;132;111;0;87;0;0;19
Norte;AM;Barreirinha;130050;7754;2897;4857;5875;2150;3725;27850;5329;23361;840;31.09;662;23.38;225;33.73;1501;141;90;453;0;0;0;91
Norte;AM;Benjamin Constant;130060;7887;4647;3240;5681;3094;2587;30322;5428;24977;1294;39.6;1159;36.11;307;44.23;1165;264;184;220;0;0;0;38
Norte;AM;Beruri;130063;6616;3685;2931;5391;2931;2460;21314;4708;18258;465;21.93;515;44278;156;25.53;934;209;169;0;0;0;0;126
Norte;AM;Boa Vista do Ramos;130068;3987;2342;1645;2605;1485;1120;13397;2369;9764;211;19.48;217;18.72;49;22.79;886;106;76;0;0;0;0;0
Norte;AM;Boca do Acre;130070;7895;5342;2553;5366;3295;2071;21489;4938;16483;141;8.99;193;12.25;40;10.75;3086;519;289;279;0;0;0;142
Norte;AM;Borba;130080;7488;3772;3716;5659;2675;2984;26163;5343;22104;622;29.34;845;36.58;170;44225;1598;333;228;0;0;0;0;443
Norte;AM;Caapiranga;130083;2850;1588;1262;2119;1146;973;9074;1947;7265;160;18.98;127;16.91;50;21.55;183;255;192;0;0;0;0;193
Norte;AM;Canutama;130090;3620;2557;1063;2885;2001;884;11056;2489;8952;234;44279;300;44469;75;29.53;720;261;164;149;0;0;0;0
Norte;AM;Carauari;130100;8238;6714;1524;6547;5237;1310;24444;5867;21109;725;34.84;715;31.91;229;48.52;1301;1124;1040;655;563;0;0;288
Norte;AM;Careiro;130110;8664;2993;5671;5070;1831;3239;24356;5449;18981;481;25.93;721;37.36;142;30.67;1873;592;384;0;0;0;0;81
Norte;AM;Careiro da Várzea;130115;5264;1070;4194;4024;875;3149;16361;3916;14074;262;44425;241;17.84;82;22.78;1601;322;225;1;0;0;0;354
Norte;AM;Coari;130120;14233;10327;3906;10168;6993;3175;49848;9932;40001;679;44544;502;44266;222;24.27;2038;357;203;0;0;0;0;30
Norte;AM;Codajás;130130;5752;4592;1160;3173;2464;709;17434;3390;13017;292;19.81;244;44456;104;44346;988;348;232;0;0;0;0;0
Norte;AM;Eirunepé;130140;7423;5827;1596;5712;4364;1348;25485;5239;21299;522;22.18;552;23.96;145;24.13;1008;588;509;749;0;0;0;55
Norte;AM;Envira;130150;3777;2848;929;3291;2464;827;13861;2851;12019;197;13.81;413;29.17;48;12.28;661;132;94;282;0;0;0;41
Norte;AM;Fonte Boa;130160;5406;4323;1083;3951;3110;841;18586;3448;14736;625;33.71;473;44253;180;47.37;824;379;291;365;117;0;0;52
Norte;AM;Guajará;130165;3310;2136;1174;2807;1758;1049;12290;2539;10710;187;15.49;236;18.41;73;20.22;855;171;124;269;0;0;0;46
Norte;AM;Humaitá;130170;11833;8762;3071;7716;5462;2254;33865;6884;25199;339;11.65;408;15.64;120;44330;650;287;203;76;0;0;0;145
Norte;AM;Ipixuna;130180;4559;2665;1894;4181;2405;1776;14632;3746;13156;442;33.87;426;34.08;128;39.14;886;200;163;359;0;0;0;1
Norte;AM;Iranduba;130185;19075;10831;8244;12879;7360;5519;46081;11134;34422;387;10.36;257;7.96;139;44360;1108;704;476;3;0;0;0;227
Norte;AM;Itacoatiara;130190;19360;12009;7351;11280;6501;4779;62642;10732;43327;846;44458;891;19.84;214;44370;2076;870;515;1;0;0;0;297
Norte;AM;Itamarati;130195;2539;1768;771;1711;1150;561;8980;1588;6988;313;29.67;295;29.53;123;53.02;789;124;95;507;0;0;0;207
Norte;AM;Itapiranga;130200;2761;2288;473;1932;1567;365;7452;1596;5393;127;20.65;78;12.64;30;22.72;217;76;57;0;0;0;0;8
Norte;AM;Japurá;130210;1388;908;480;1029;650;379;5129;1003;4209;144;25.26;112;44342;32;32.32;248;112;75;2;0;0;0;5
Norte;AM;Juruá;130220;2335;1642;693;1753;1183;570;7862;1578;6302;183;28.68;163;27.96;28;23.94;743;67;49;216;174;0;0;104
Norte;AM;Jutaí;130230;4995;3315;1680;3818;2440;1378;19629;3310;15939;689;37.73;658;35.66;185;44.58;1035;266;219;849;42;0;0;418
Norte;AM;Lábrea;130240;12787;9863;2924;9455;7025;2430;37463;8083;29658;672;23.88;634;22.38;254;31.99;2126;991;805;709;0;0;0;126
Norte;AM;Manacapuru;130250;26815;18858;7957;18745;12820;5925;78816;17109;61418;1269;44272;1320;18.55;367;44458;2091;2339;1637;3;0;0;0;1523
Norte;AM;Manaquiri;130255;4770;1729;3041;3411;1131;2280;15355;3129;11579;175;14.56;161;12.98;56;17.24;1228;198;171;0;0;0;0;73
Norte;AM;Manaus;130260;261915;256556;5359;96570;94343;2227;714920;130554;439932;4953;14.81;5385;15.91;1307;20.58;1208;1206;509;1;0;0;0;345
Norte;AM;Manicoré;130270;10066;4820;5246;5317;2403;2914;34574;6016;25117;559;25.46;469;20.54;169;37.3;2307;933;682;511;90;0;0;399
Norte;AM;Maraã;130280;3647;2139;1508;3146;1794;1352;14362;2832;12895;298;21.85;291;44276;81;23.89;679;177;145;0;0;0;0;179
Norte;AM;Maués;130290;14032;8058;5974;10483;5603;4880;44966;9105;36124;1318;33.78;1026;27.51;319;36.92;1495;947;718;0;0;0;0;120
Norte;AM;Nhamundá;130300;5003;2247;2756;3975;1676;2299;16694;3496;13629;242;44243;219;15.88;94;19.83;1178;281;203;213;0;0;0;37
Norte;AM;Nova Olinda do Norte;130310;6605;4132;2473;4938;2998;1940;21361;4333;16944;389;16.15;424;20.27;103;17.64;1231;335;264;0;0;0;0;179
Norte;AM;Novo Airão;130320;3501;2594;907;2145;1540;605;11266;2195;8676;219;21.64;254;25.15;76;27.84;209;160;118;0;0;0;0;30
Norte;AM;Novo Aripuanã;130330;4777;3630;1147;3284;2420;864;14962;3158;12111;253;19.18;228;15.79;65;22.97;888;826;691;71;0;0;0;133
Norte;AM;Parintins;130340;24698;17734;6964;17964;12398;5566;73674;15430;57661;877;14.67;3059;42.77;295;18.75;2426;620;403;371;0;0;0;585
Norte;AM;Pauini;130350;4098;2644;1454;3263;2054;1209;14541;3015;12329;408;44312;315;20.49;135;34.09;1346;172;144;572;0;0;0;18
Norte;AM;Presidente Figueiredo;130353;7598;3427;4171;4392;1977;2415;20107;3534;12485;176;13.88;142;44270;65;20.32;1347;338;215;0;0;0;0;124
